"n","simulation_run","seed","addario_hop_diameter","addario_num_vertices","addario_path_length"
4000,17,520,423,424,4.46760700130467
4000,18,521,466,467,5.01809815185097
4000,19,522,495,496,5.15430313261122
4000,20,523,481,482,5.07956886198809
4000,21,524,485,486,4.95136795465669
4000,22,525,443,444,4.6297181053606
4000,23,526,395,396,4.20386316016571
4000,24,527,400,401,3.9769058806808
4000,25,528,471,472,5.06147767740267
4000,26,529,484,485,4.99160130235002
4000,27,530,536,537,5.80667613271058
4000,28,531,428,429,4.58612594395113
4000,29,532,428,429,4.41036817623644
4000,30,533,408,409,4.27774577733637
4000,31,534,420,421,4.26923990919321
4000,32,535,501,502,5.12674573498106
4000,33,536,538,539,5.61969979261
4000,34,537,515,516,5.34534947748687
4000,35,538,545,546,5.59927193409204
4000,36,539,386,387,4.10303443500381
4000,37,540,325,326,3.48802045393211
4000,38,541,395,396,4.00206955109497
4000,39,542,404,405,4.33637557482071
4000,40,543,662,663,6.81813682489182
4000,41,544,378,379,3.95800922170418
4000,42,545,460,461,4.8248887979645
4000,43,546,430,431,4.57522039767973
4000,44,547,568,569,5.95952289211134
4000,45,548,526,527,5.48847022804178
4000,46,549,525,526,5.38806679264134
4000,47,550,458,459,4.69323360836568
4000,48,551,444,445,4.72894322766863
4000,49,552,451,452,4.64783530443768
4000,50,553,515,516,5.40440340923964
4000,51,554,542,543,5.67180006174444
4000,52,555,547,548,5.72193922117181
4000,53,556,398,399,3.95147432241971
4000,54,557,387,388,4.0413368600784
4000,55,558,480,481,5.0247859043522
4000,56,559,483,484,5.23032862416402
4000,57,560,485,486,5.12328446533244
4000,58,561,452,453,4.56791582274305
4000,59,562,445,446,4.55432216337036
4000,60,563,509,510,5.33074746048325
4000,61,564,395,396,4.23531642128436
4000,62,565,561,562,5.81826077281701
4000,63,566,462,463,4.78199982689954
4000,64,567,503,504,5.27672863944317
4000,65,568,496,497,5.16082295657152
4000,66,569,417,418,4.42130904632561
4000,67,570,548,549,5.85390678143479
4000,68,571,424,425,4.40136814223511
4000,69,572,439,440,4.65175375001261
4000,70,573,595,596,6.1566374389526
4000,71,574,503,504,5.24361462155332
4000,72,575,450,451,4.78473152347448
4000,73,576,513,514,5.20087248499174
4000,74,577,381,382,3.96504453345709
4000,75,578,429,430,4.45047623890036
4000,76,579,537,538,5.51642994290785
4000,77,580,460,461,4.80825814922316
4000,78,581,447,448,4.5882543635617
4000,79,582,526,527,5.33339405387176
4000,80,583,589,590,5.98075001131515
4000,81,584,491,492,5.05328930552715
4000,82,585,493,494,5.34183991963107
4000,83,586,414,415,4.15664920766181
4000,84,587,469,470,4.96265662045544
4000,85,588,408,409,4.29271164991363
4000,86,589,411,412,4.23495258446106
4000,87,590,499,500,5.12853914971832
4000,88,591,420,421,4.44347256942748
4000,89,592,403,404,4.03596069366391
4000,90,593,476,477,5.13660751936138
4000,91,594,460,461,4.73894003529156
4000,92,595,446,447,4.58557299556524
4000,93,596,412,413,4.4243630478131
4000,94,597,403,404,4.31960367513216
4000,95,598,352,353,3.54089091590171
4000,96,599,565,566,5.88436557278322
4000,97,600,422,423,4.27285571575487
4000,98,601,444,445,4.6414415754
4000,99,602,560,561,6.06304452599903
4000,100,603,409,410,4.01060323409272
5000,1,604,498,499,4.60877206556945
5000,2,605,673,674,6.25176639460929
5000,3,606,595,596,5.58422800618546
5000,4,607,576,577,5.34430357690248
5000,5,608,547,548,5.03818056503803
5000,6,609,481,482,4.29576874995963
5000,7,610,521,522,4.79203332100741
5000,8,611,377,378,3.47485209080123
5000,9,612,502,503,4.50304915383148
5000,10,613,455,456,4.18093008762133
5000,11,614,558,559,5.03856295715409
5000,12,615,566,567,5.17444922436358
5000,13,616,525,526,5.0104839756858
5000,14,617,447,448,4.32335906949308
5000,15,618,730,731,7.0097627434163
5000,16,619,418,419,3.81725905768399
5000,17,620,524,525,5.06070615730778
5000,18,621,529,530,4.87949653098697
5000,19,622,583,584,5.64848072987438
5000,20,623,619,620,5.86263349927723
5000,21,624,498,499,4.68456731881768
5000,22,625,569,570,5.23779316286007
5000,23,626,662,663,6.21868637710017
5000,24,627,472,473,4.36574161842211
5000,25,628,558,559,5.2173103072658
5000,26,629,678,679,6.45820698036565
5000,27,630,440,441,3.95431261534589
5000,28,631,402,403,3.87274292936836
5000,29,632,433,434,4.05342004604033
5000,30,633,632,633,5.78414958323615
5000,31,634,610,611,5.75787648211322
5000,32,635,600,601,5.76883957460346
5000,33,636,505,506,4.67609994799438
5000,34,637,403,404,3.900253633517
5000,35,638,596,597,5.41334136020546
5000,36,639,669,670,6.24108544078053
5000,37,640,550,551,4.99376087269027
5000,38,641,435,436,4.08514345317925
5000,39,642,741,742,6.95877275528843
5000,40,643,499,500,4.61265606184136
5000,41,644,603,604,5.61754681332705
5000,42,645,648,649,6.07782519933077
5000,43,646,496,497,4.5806812979604
5000,44,647,422,423,3.76821746976236
5000,45,648,610,611,5.66443693707303
5000,46,649,628,629,5.94550893445703
5000,47,650,726,727,6.84252513370456
5000,48,651,476,477,4.45160405773339
5000,49,652,623,624,5.8136285840367
5000,50,653,501,502,4.78923889083559
5000,51,654,534,535,4.84953017666705
5000,52,655,596,597,5.4654478969812
5000,53,656,556,557,5.26576719440486
5000,54,657,580,581,5.63039184868274
5000,55,658,646,647,6.05327582693759
5000,56,659,450,451,4.2925493391936
5000,57,660,536,537,4.93150699174272
5000,58,661,430,431,4.02749356624211
5000,59,662,642,643,5.93197646730245
5000,60,663,505,506,4.71180984422092
5000,61,664,411,412,3.71409844236057
5000,62,665,505,506,4.77488561646784
5000,63,666,591,592,5.36964129981499
5000,64,667,483,484,4.53965377640333
5000,65,668,447,448,4.08439198093247
5000,66,669,503,504,4.76066156117417
5000,67,670,607,608,5.53038502143638
5000,68,671,668,669,6.1289078448514
5000,69,672,676,677,6.39121348950392
5000,70,673,503,504,4.73090895769266
5000,71,674,407,408,3.7640850787813
5000,72,675,613,614,5.75101383048911
5000,73,676,423,424,3.84414341734338
5000,74,677,476,477,4.57681883105703
5000,75,678,576,577,5.43146247930633
5000,76,679,526,527,4.80642480673077
5000,77,680,515,516,4.88678165745491
5000,78,681,514,515,4.8722054619488
5000,79,682,491,492,4.66625942622385
5000,80,683,440,441,4.0435261620025
5000,81,684,572,573,5.3055704526785
5000,82,685,508,509,4.5023291671559
5000,83,686,379,380,3.55873747467248
5000,84,687,540,541,5.07935029291374
5000,85,688,484,485,4.53450337893897
5000,86,689,468,469,4.41257247860979
5000,87,690,429,430,3.8465832935179
5000,88,691,640,641,6.00791332922839
5000,89,692,444,445,4.21050446329556
5000,90,693,423,424,3.8999628051219
5000,91,694,681,682,6.33360264307283
5000,92,695,565,566,5.32544076029973
5000,93,696,479,480,4.41906778874869
5000,94,697,497,498,4.49180075925495
5000,95,698,460,461,4.2030250102047
5000,96,699,512,513,4.67974223134931
5000,97,700,536,537,4.86743592291757
5000,98,701,565,566,5.2954612028115
5000,99,702,483,484,4.54853734091374
5000,100,703,549,550,5.17469409712401
