"n","simulation_run","seed","stringy_diameter","stringy_num_edges","stringy_num_vertices","penrose_diameter","penrose_num_edges","penrose_num_vertices","total_mst_length","stringy05"
4000,65,568,5.16082295657151,496,497,0.0291244679441889,1,2,41.3802879458745,0.124716941634671
4000,66,569,4.42130904632562,417,418,0.0270270320040073,1,2,41.1568728550806,0.107425777023772
4000,67,570,5.8683078980263,548,549,0.0302074860220929,1,2,41.3289089121629,0.141990390080181
4000,68,571,4.40415126480639,423,424,0.0258098887375497,1,2,41.3505372397303,0.106507715710518
4000,69,572,4.65175375001261,439,440,0.0272653583316039,1,2,41.3477380356047,0.112503221966023
4000,70,573,6.16721168553383,595,596,0.0264216586592285,1,2,41.2439635792887,0.149530043922132
4000,71,574,5.32106465711779,495,496,0.0278077983096048,1,2,41.2488814030123,0.128999004970089
4000,72,575,4.79923226408699,448,449,0.0276977151370751,1,2,41.4397075427831,0.115812406714796
4000,73,576,5.25599379826563,510,511,0.0281396501170286,1,2,41.1146257847203,0.127837568698459
4000,74,577,3.9650445334571,381,382,0.0270310963437144,1,2,41.5025385433351,0.0955373977742826
4000,75,578,4.47175657808961,428,429,0.0283890622537675,1,2,41.5285751329278,0.107679027363113
4000,76,579,5.58803145456307,534,535,0.0349109706760586,1,2,41.3567321635739,0.135117819088349
4000,77,580,4.80825814922316,460,461,0.0282563278195687,1,2,41.1225878280298,0.116924989480982
4000,78,581,4.63559719423773,443,444,0.0305912372653648,1,2,41.1702866419545,0.11259569879977
4000,79,582,5.33364240352473,524,525,0.0321895349686365,1,2,41.3142271927034,0.129099411170076
4000,80,583,5.98426837372365,588,589,0.0307699340951159,1,2,41.1412756479671,0.14545655863783
4000,81,584,5.0540965720259,491,492,0.0312426968216011,1,2,41.4194047038224,0.122022433884944
4000,82,585,5.41292431102836,486,487,0.0259916868886609,1,2,41.2798399637598,0.131127550779762
4000,83,586,4.17589247965207,412,413,0.0325136335739783,1,2,41.1873247947405,0.101387805604342
4000,84,587,4.97216342359417,469,470,0.029558125289341,1,2,41.4753110195585,0.119882486746138
4000,85,588,4.3845607374869,407,408,0.0326784500615044,1,2,41.2014999058233,0.106417502943071
4000,86,589,4.24818822306542,407,408,0.0287791538005358,1,2,41.0020736893124,0.103609106584596
4000,87,590,5.13627806571458,498,499,0.0336863356381306,1,2,41.2036814527068,0.124655804642358
4000,88,591,4.44347256942748,420,421,0.0286052298041171,1,2,41.5766850598225,0.106874142636288
4000,89,592,4.05139681547768,401,402,0.0366225775136,1,2,41.4375495076643,0.0977711487193116
4000,90,593,5.13660751936139,476,477,0.0298601648781519,1,2,40.9412211417139,0.125462977803753
4000,91,594,4.75952409395999,453,454,0.0283244102429527,1,2,41.121230170703,0.115743718614501
4000,92,595,4.58557299556525,446,447,0.0310665035481722,1,2,41.5104612428259,0.110467888293045
4000,93,596,4.42436304781311,412,413,0.033327164302205,1,2,41.6293590116764,0.106279874416806
4000,94,597,4.31960367513216,403,404,0.0330037286142172,1,2,41.2979934120165,0.104595969882529
4000,95,598,3.56292390527496,349,350,0.0301396762167883,1,2,41.2312084526716,0.0864132786543175
4000,96,599,5.89136398442914,565,566,0.0346171013550689,1,2,41.1050734975641,0.143324497030233
4000,97,600,4.27885893855685,422,423,0.0388985560735368,1,2,41.3167401607844,0.103562355643394
4000,98,601,4.64144157540001,444,445,0.0318972410480433,1,2,41.6919287185894,0.111327101385226
4000,99,602,6.07267041468255,560,561,0.033175839049824,1,2,41.1079509441033,0.147724960140677
4000,100,603,4.11177105434457,395,396,0.0272240428963943,1,2,41.1649316419171,0.0998852880435168
5000,1,604,4.62068272233854,491,492,0.0304250499173536,1,2,46.2766881725338,0.0998490364114046
5000,2,605,6.25176639460929,673,674,0.0230393959048663,1,2,46.145514962004,0.13547939382098
5000,3,606,5.58422800618546,595,596,0.0333195734510148,1,2,45.8808569957176,0.121711501742582
5000,4,607,5.39684049294806,575,576,0.0258227238655713,1,2,45.79794601979,0.117840230009791
5000,5,608,5.03818056503804,547,548,0.0350397578449235,1,2,46.2312145372031,0.108977897627667
5000,6,609,4.53641914100831,480,481,0.0391669960850043,1,2,46.1422641407875,0.0983137525971193
