"n","simulation_run","seed","addario_hop_diameter","addario_num_vertices","addario_path_length"
650,5,608,184,185,4.92605307902905
650,6,609,141,142,3.74216542472871
650,7,610,153,154,3.92715362963367
650,8,611,132,133,3.4580871655404
650,9,612,126,127,3.3781778813192
650,10,613,107,108,2.85090155906344
650,11,614,136,137,3.54467538999025
650,12,615,157,158,3.92161407699586
650,13,616,173,174,4.60740181073164
650,14,617,147,148,3.95092989936062
650,15,618,146,147,3.71501796205744
650,16,619,122,123,3.20185945204688
650,17,620,110,111,2.88559659341151
650,18,621,160,161,4.1995250681902
650,19,622,140,141,3.51072517434749
650,20,623,188,189,4.90135242946922
650,21,624,161,162,4.15394263800059
650,22,625,134,135,3.44651027633904
650,23,626,171,172,4.63218811961054
650,24,627,150,151,3.77636698544926
650,25,628,135,136,3.64325061987264
650,26,629,188,189,4.6188610201232
650,27,630,143,144,3.66181648915634
650,28,631,148,149,4.0085289057777
650,29,632,132,133,3.50994250584592
650,30,633,151,152,3.921836465756
650,31,634,165,166,4.6297959821453
650,32,635,131,132,3.18345847441254
650,33,636,135,136,3.46029087279874
650,34,637,159,160,4.03071544427661
650,35,638,136,137,3.52441008943681
650,36,639,141,142,3.66969795789808
650,37,640,145,146,3.72187667015304
650,38,641,141,142,3.66586314313436
650,39,642,118,119,2.97084310039854
650,40,643,161,162,4.28442363247503
650,41,644,149,150,3.89321019530582
650,42,645,116,117,3.03881305359282
650,43,646,121,122,3.37486508138296
650,44,647,163,164,4.23910577408337
650,45,648,110,111,2.70889115506804
650,46,649,147,148,3.9177045052257
650,47,650,143,144,4.00228748348083
650,48,651,135,136,3.47041988581226
650,49,652,190,191,5.03565403770079
650,50,653,132,133,3.75107975629623
650,51,654,121,122,3.00627007695367
650,52,655,131,132,3.45764510672671
650,53,656,118,119,3.16333487763845
650,54,657,148,149,3.65658787746555
650,55,658,167,168,4.46536180630296
650,56,659,134,135,3.14716791302848
650,57,660,164,165,4.22556746437245
650,58,661,127,128,3.23227517268148
650,59,662,110,111,2.92303055895843
650,60,663,153,154,4.30561944966403
650,61,664,136,137,3.58687765001327
650,62,665,128,129,3.33356668531129
650,63,666,165,166,4.17111621998149
650,64,667,134,135,3.5378842201183
650,65,668,156,157,3.82737099505369
650,66,669,160,161,4.37759431898846
650,67,670,176,177,4.48989193823388
650,68,671,136,137,3.54513975627518
650,69,672,157,158,4.20751744789423
650,70,673,98,99,2.62490517026123
650,71,674,116,117,2.82037200547981
650,72,675,163,164,4.26668178484337
650,73,676,174,175,4.43537956164839
650,74,677,149,150,3.74622894196006
650,75,678,170,171,4.50207275776964
650,76,679,161,162,4.22632769181659
650,77,680,127,128,3.2444058079096
650,78,681,171,172,4.58149721733099
650,79,682,137,138,3.81946689532682
650,80,683,149,150,3.85487179532215
650,81,684,163,164,4.13337309259358
650,82,685,132,133,3.51871992358857
650,83,686,101,102,2.7299574727291
650,84,687,130,131,3.29248023667256
650,85,688,126,127,3.51157737368463
650,86,689,167,168,4.56689662975581
650,87,690,183,184,4.63628188156327
650,88,691,142,143,3.82245211746213
650,89,692,156,157,4.08492830498802
650,90,693,132,133,3.40904809107693
650,91,694,114,115,2.98101619788293
650,92,695,146,147,3.62126399971386
650,93,696,148,149,3.75697782265985
650,94,697,160,161,4.24351674094082
650,95,698,135,136,3.60710868578704
650,96,699,149,150,4.04495742475
650,97,700,162,163,4.22146830412002
650,98,701,143,144,3.4106366441561
650,99,702,111,112,2.9455532065032
650,100,703,127,128,2.91500183972749
700,1,704,162,163,3.82952247849616
700,2,705,160,161,4.08437471333825
700,3,706,160,161,3.93083056034739
700,4,707,149,150,3.7522155425292
700,5,708,125,126,3.10314621238167
700,6,709,150,151,3.84828228681075
700,7,710,169,170,4.1493338781219
700,8,711,141,142,3.34053921892451
700,9,712,162,163,4.3488309111871
700,10,713,160,161,3.7412490751935
700,11,714,119,120,3.05555348207037
700,12,715,173,174,4.33320993431954
700,13,716,131,132,3.34599274047738
700,14,717,150,151,3.78404561632388
700,15,718,137,138,3.40356461500603
700,16,719,159,160,4.01857986006162
700,17,720,220,221,5.68749711539989
700,18,721,132,133,3.22644546522791
700,19,722,157,158,4.09989835976147
700,20,723,171,172,4.48535317320232
700,21,724,119,120,2.89211283518881
700,22,725,156,157,4.0116235226235
700,23,726,160,161,4.09985557817664
700,24,727,132,133,3.2907444559325
700,25,728,169,170,4.4328398269859
700,26,729,192,193,4.5525340963953
700,27,730,186,187,4.57955677991436
700,28,731,162,163,4.03557031246504
700,29,732,135,136,3.4923844075351
700,30,733,164,165,3.99983863321412
700,31,734,154,155,3.89754939318394
700,32,735,135,136,3.44857727100735
700,33,736,177,178,4.29128985269128
700,34,737,185,186,4.68292490210343
700,35,738,133,134,3.48263470004642
700,36,739,136,137,3.45400888282145
700,37,740,139,140,3.36696282497445
700,38,741,189,190,4.56825003094137
700,39,742,115,116,2.83675030236423
700,40,743,128,129,3.38782308488991
700,41,744,169,170,4.30065732289945
700,42,745,173,174,4.39041725116792
700,43,746,133,134,3.37584870231597
700,44,747,154,155,3.93240583471103
700,45,748,156,157,4.00721619236622
700,46,749,106,107,2.61547764192491
700,47,750,161,162,4.12490375398451
700,48,751,134,135,3.13943635910382
700,49,752,206,207,5.1242594799245
700,50,753,169,170,4.26081032783817
700,51,754,151,152,3.98582068047412
700,52,755,170,171,4.52453468413469
700,53,756,153,154,3.88697085075156
700,54,757,157,158,3.88377547238733
700,55,758,156,157,4.01213344586377
700,56,759,118,119,2.82395030837965
700,57,760,163,164,4.1449216001562
700,58,761,157,158,3.71276093073689
700,59,762,150,151,4.0022565202977
700,60,763,135,136,3.29282953773352
700,61,764,119,120,3.06653027438395
700,62,765,171,172,4.28920103505606
700,63,766,185,186,4.93641444007204
700,64,767,129,130,3.44346875264622
700,65,768,167,168,4.00814666981728
700,66,769,129,130,3.21383138512399
700,67,770,129,130,3.19913030661798
700,68,771,157,158,3.60707693196692
700,69,772,174,175,4.19544224440394
700,70,773,143,144,3.87715404070388
700,71,774,177,178,4.64809581937418
700,72,775,138,139,3.46048871967901
700,73,776,129,130,3.51059173412586
700,74,777,141,142,3.73004961641279
700,75,778,166,167,4.20819319555492
700,76,779,175,176,4.55950039413298
700,77,780,138,139,3.4884506338633
700,78,781,170,171,4.51169354213846
700,79,782,161,162,3.97837640417177
700,80,783,191,192,4.95632749493708
700,81,784,175,176,4.38145208051326
700,82,785,171,172,4.74428327967965
700,83,786,161,162,4.10597556646223
700,84,787,158,159,4.0600167395291
700,85,788,148,149,3.61187341812784
700,86,789,153,154,3.74810332211083
700,87,790,151,152,3.59645733739067
700,88,791,162,163,3.86889610002801
700,89,792,160,161,4.10134379954301
700,90,793,157,158,4.03042154408951
700,91,794,118,119,3.13541261007487
700,92,795,144,145,3.3472491166649
700,93,796,141,142,3.56458221370625
700,94,797,116,117,2.89931530836448
700,95,798,143,144,3.63184916384381
700,96,799,177,178,4.51198085218337
700,97,800,202,203,4.95760980820154
700,98,801,187,188,4.75931625518149
700,99,802,144,145,3.41800639298064
700,100,803,155,156,4.02806607698018
750,1,804,165,166,4.20952155361837
750,2,805,139,140,3.58081785748465
750,3,806,190,191,4.31319663815025
750,4,807,184,185,4.44999701831835
750,5,808,130,131,3.08882914840373
750,6,809,144,145,3.17312371531438
750,7,810,175,176,4.44957696581291
750,8,811,187,188,4.49324288256337
750,9,812,165,166,4.02457075792921
750,10,813,163,164,3.75256953350417
750,11,814,167,168,4.14804168806277
750,12,815,158,159,4.24684159258237
750,13,816,141,142,3.48267294856435
750,14,817,160,161,3.86312711702417
750,15,818,179,180,4.40578142509891
750,16,819,207,208,4.9253769768142
750,17,820,169,170,4.05787924211744
750,18,821,159,160,3.78242940393682
750,19,822,175,176,4.34223817450933
750,20,823,134,135,3.19893843818003
750,21,824,128,129,2.93374660736933
750,22,825,164,165,3.94645697688849
750,23,826,152,153,3.67176302712601
750,24,827,175,176,4.28863772280269
750,25,828,233,234,5.39287561158697
750,26,829,198,199,4.93157431606256
750,27,830,144,145,3.48507255452158
750,28,831,135,136,3.23677210562036
750,29,832,180,181,4.34873250583602
750,30,833,166,167,4.10143341939571
750,31,834,165,166,3.92915536362908
750,32,835,157,158,3.61937372342048
750,33,836,124,125,3.20812943486058
750,34,837,163,164,4.0622936844596
750,35,838,185,186,4.65158766087252
750,36,839,159,160,3.68878842694439
750,37,840,206,207,5.10402819844285
750,38,841,174,175,4.14060092840979
750,39,842,200,201,4.73714018917719
750,40,843,151,152,3.5537571784742
750,41,844,201,202,5.00765859226016
