"structure","run","seed","weighted_diameter","hop_diameter","mst_length","weighted_stringy","hop_stringy","difference"
"Degree 2 vs 3",96,1145,2.51802688819712,348,2.86062128300644,0.880237766234734,0.697394789579158,0.182842976655576
"Degree 2 vs 3",97,1146,2.50284942563871,336,2.95405423118586,0.847259132623974,0.673346693386774,0.1739124392372
"Degree 2 vs 3",98,1147,2.46986213574295,360,2.8179349710695,0.876479464962797,0.721442885771543,0.155036579191254
"Degree 2 vs 3",99,1148,2.47409214767167,344,2.87117306724161,0.861700806509924,0.68937875751503,0.172322048994894
"Degree 2 vs 3",100,1149,2.5065439549646,343,2.86062643310877,0.876222049112727,0.687374749498998,0.188847299613729
"Sine wave",1,1050,4.51187206347731,478,4.59224203310492,0.982498751361922,0.957915831663327,0.0245829196985952
"Sine wave",2,1051,4.50965867582732,479,4.59660967040931,0.981083668003892,0.959919839679359,0.0211638283245336
"Sine wave",3,1052,4.50058023886297,477,4.58793359553144,0.9809601959467,0.955911823647295,0.0250483722994054
"Sine wave",4,1053,4.50087866602712,470,4.60413829887277,0.977572430248036,0.94188376753507,0.035688662712966
"Sine wave",5,1054,4.4337070705952,473,4.52486650466543,0.979853674362275,0.947895791583166,0.0319578827791083
"Sine wave",6,1055,4.48244331442741,482,4.53580869621596,0.988234648909891,0.965931863727455,0.0223027851824364
"Sine wave",7,1056,4.48031481459261,473,4.57425496623606,0.979463289139575,0.947895791583166,0.0315674975564091
"Sine wave",8,1057,4.45277077925613,478,4.52973186040593,0.983009793179478,0.957915831663327,0.0250939615161512
"Sine wave",9,1058,4.49477696243965,483,4.54850086341157,0.988188657629136,0.967935871743487,0.0202527858856495
"Sine wave",10,1059,4.49814482112428,479,4.56818883802519,0.984667004936866,0.959919839679359,0.0247471652575072
"Sine wave",11,1060,4.47367821244606,471,4.58382712317705,0.975970099270533,0.943887775551102,0.0320823237194305
"Sine wave",12,1061,4.47304130487607,471,4.58261704085164,0.976088829810834,0.943887775551102,0.0322010542597317
"Sine wave",13,1062,4.49010082845508,477,4.56800606826372,0.982945460526008,0.955911823647295,0.0270336368787137
"Sine wave",14,1063,4.46933906809313,470,4.5870099836044,0.974346924045975,0.94188376753507,0.0324631565109045
"Sine wave",15,1064,4.47498268601994,479,4.55087140423551,0.98332435450825,0.959919839679359,0.0234045148288917
"Sine wave",16,1065,4.48072137802451,475,4.58306556396437,0.977669054803717,0.95190380761523,0.0257652471884862
"Sine wave",17,1066,4.47153464583884,473,4.56554353561492,0.979409047566246,0.947895791583166,0.0315132559830793
"Sine wave",18,1067,4.5222335809092,482,4.57563807424364,0.988328514522365,0.965931863727455,0.0223966507949105
"Sine wave",19,1068,4.46430332099224,474,4.55088065605573,0.980975696440581,0.949899799599198,0.0310758968413829
"Sine wave",20,1069,4.48956124080183,478,4.56770716985109,0.982891650856023,0.957915831663327,0.0249758191926965
"Sine wave",21,1070,4.46575668918535,475,4.54592203422361,0.982365437762737,0.95190380761523,0.0304616301475067
